borrower_id,state,zip_code,annual_income,employment_length,home_ownership,fico_range_low,fico_range_high,open_accounts,total_accounts,delinq_2yrs,pub_rec,revol_util,dti,member_since
1,TX,76982,76900.74,1,OWN,645,653,10,25,1,0,12.17,32.89,2018-04-08
2,GA,31779,83086.61,6,MORTGAGE,715,723,9,34,0,0,52.69,42.07,2020-08-22
3,NY,11933,47574.13,3,RENT,832,840,17,12,1,0,18.49,35.32,2019-03-17
4,CA,90856,61038.89,7,MORTGAGE,715,723,18,32,2,0,35.19,11.17,2020-11-25
5,NY,14904,45781.32,2,OWN,709,717,6,26,0,0,66.53,24.03,2022-05-02
6,PA,17587,32882.44,3,RENT,736,744,18,18,0,0,18.99,37.19,2022-03-06
7,WI,53773,71594.46,8,OWN,826,834,16,26,0,0,10.88,33.21,2020-08-05
8,TX,77646,87637.74,8,MORTGAGE,669,677,12,29,0,0,28.88,27.61,2021-12-09
9,GA,31664,82025.51,9,OWN,781,789,10,11,0,0,27.89,21.34,2018-02-05
10,NJ,07618,37935.72,6,MORTGAGE,663,671,9,22,1,0,2.16,36.36,2020-06-21
11,TX,77344,65655.95,5,MORTGAGE,823,831,15,38,0,0,36.2,11.45,2022-05-31
12,FL,33154,46731.28,1,RENT,720,728,8,13,2,1,66.47,19.47,2021-10-01
13,WA,98879,39586.43,4,OWN,738,746,19,32,0,1,43.3,33.68,2018-06-18
14,MI,48592,63618.16,2,OWN,724,732,10,35,1,0,41.05,28.17,2018-05-14
15,IL,62402,42462.93,4,RENT,660,668,12,33,0,0,13.73,8.38,2022-05-29
16,IN,47517,24022.4,10,MORTGAGE,750,758,19,27,0,0,2.17,11.82,2023-04-02
17,AZ,85346,59166.35,4,MORTGAGE,584,592,11,30,2,0,44.98,8.31,2022-10-30
18,WA,98148,30098.64,4,RENT,730,738,7,10,1,1,13.32,25.83,2023-11-04
19,GA,30785,36615.07,6,RENT,695,703,4,31,1,0,87.02,16.25,2018-04-08
20,PA,15586,27472.2,3,MORTGAGE,737,745,8,34,1,0,90.53,27.19,2022-10-10
21,WI,54348,47836.42,2,MORTGAGE,734,742,11,25,0,2,84.71,42.44,2020-12-27
22,NC,27970,53959.82,5,OWN,657,665,10,19,1,0,35.5,40.74,2019-12-11
23,AZ,85141,54717.6,2,MORTGAGE,820,828,15,10,1,0,17.03,42.47,2020-10-23
24,MD,21323,25229.58,8,MORTGAGE,689,697,8,39,0,0,1.32,17.41,2022-11-04
25,OH,45506,72139.95,5,RENT,724,732,5,37,0,0,76.39,9.87,2021-07-01
26,VA,24298,22118.38,1,MORTGAGE,676,684,12,37,0,0,46.42,10.24,2020-02-23
27,GA,30321,44680.69,0,RENT,665,673,19,27,0,0,13.33,41.99,2019-10-04
28,MD,20812,222011.49,10,RENT,732,740,15,34,0,0,1.69,28.84,2023-04-29
29,WA,98691,33107.4,5,OWN,775,783,17,32,1,0,39.19,14.31,2018-08-02
30,VA,23008,96212.68,9,RENT,734,742,7,23,0,0,70.87,31.08,2023-01-21
31,PA,16819,24271.55,1,RENT,654,662,4,15,0,0,87.49,28.78,2019-09-27
32,MI,49105,39116.76,1,MORTGAGE,829,837,12,10,0,0,5.07,11.14,2019-02-21
33,NY,11666,53812.31,5,RENT,701,709,14,32,1,0,17.24,17.72,2018-03-20
34,OH,43275,172112.05,4,OWN,742,750,7,11,0,0,9.66,27.85,2020-09-20
35,WA,99235,65387.48,9,OWN,629,637,3,34,3,0,74.05,8.96,2023-08-01
36,MO,63252,41138.4,5,MORTGAGE,683,691,8,25,1,0,36.58,10.38,2021-02-21
37,NY,14765,39216.44,4,OWN,663,671,7,28,0,0,31.11,24.12,2018-01-28
38,GA,31483,26062.71,10,MORTGAGE,722,730,14,37,0,0,50.87,16.88,2019-04-24
39,FL,34814,80562.85,6,RENT,640,648,14,12,0,0,66.01,26.31,2021-01-31
40,AZ,85901,51135.72,1,RENT,634,642,13,31,0,1,13.05,29.58,2020-02-21
41,FL,33377,121386.76,8,RENT,579,587,16,37,0,0,9.03,36.3,2019-08-18
42,VA,22788,33143.83,5,RENT,714,722,11,23,0,0,75.93,27.6,2021-04-12
43,PA,18694,34383.7,1,MORTGAGE,693,701,13,31,0,0,73.56,9.79,2018-01-11
44,MD,21206,93067.74,8,RENT,658,666,13,18,0,0,14.97,40.93,2021-12-23
45,OH,44238,25974.7,7,MORTGAGE,754,762,18,15,2,0,45.54,20.33,2018-09-26
46,MO,65750,108811.94,10,MORTGAGE,732,740,10,13,1,0,11.58,33.71,2018-11-04
47,TN,38097,52298.78,8,OWN,686,694,14,22,0,0,28.68,23.17,2018-11-08
48,NJ,08708,57859.01,10,OWN,604,612,3,36,0,0,10.11,9.42,2021-08-04
49,NJ,08290,53260.21,9,MORTGAGE,576,584,14,35,0,0,73.79,8.62,2019-11-01
50,WI,54647,38706.21,0,MORTGAGE,748,756,3,10,0,0,76.14,31.25,2023-03-10
51,MD,21295,32631.76,10,MORTGAGE,724,732,17,13,0,0,3.81,37.04,2019-12-10
52,FL,33763,110431.59,9,RENT,739,747,10,14,0,0,25.72,30.2,2018-07-15
53,MA,01317,21390.26,6,RENT,671,679,19,10,1,0,16.45,7.18,2020-11-28
54,WI,53784,35584.3,4,RENT,750,758,12,33,0,0,13.79,44.2,2022-10-12
55,VA,23916,20209.04,6,OWN,586,594,8,23,0,0,38.38,32.99,2021-12-06
56,IN,46756,170448.47,3,RENT,714,722,4,19,0,0,60.29,10.36,2020-08-26
57,VA,22594,18887.57,3,MORTGAGE,720,728,9,37,0,0,21.43,28.53,2018-11-23
58,MD,21702,60392.79,6,RENT,687,695,12,29,0,0,52.17,33.08,2022-04-16
59,MA,01087,232955.85,7,MORTGAGE,701,709,13,26,2,0,49.43,25.51,2018-02-27
60,VA,23927,63461.0,5,MORTGAGE,652,660,3,13,0,0,5.28,38.5,2020-03-03
61,FL,33070,40733.09,7,RENT,732,740,8,37,1,0,35.36,17.56,2022-08-19
62,MI,49357,31834.69,3,RENT,747,755,11,38,3,0,29.54,9.79,2020-08-07
63,MD,20926,41011.43,0,MORTGAGE,660,668,14,30,0,0,15.76,30.64,2019-08-04
64,GA,30595,130269.7,8,MORTGAGE,632,640,16,39,0,0,37.29,27.24,2022-04-24
65,WI,54769,57235.94,2,MORTGAGE,830,838,15,19,2,0,22.12,23.77,2022-06-01
66,MA,01659,35480.45,5,RENT,721,729,3,12,0,0,60.57,28.46,2018-02-23
67,OH,43620,44555.42,3,MORTGAGE,668,676,14,32,0,0,45.84,7.32,2023-03-14
68,IN,46752,166216.09,9,MORTGAGE,672,680,8,27,1,0,47.39,25.19,2022-04-16
69,MO,63754,46985.38,6,RENT,701,709,4,21,0,0,2.36,41.69,2022-04-24
70,OH,44555,68122.09,6,RENT,601,609,12,10,0,0,60.21,17.3,2020-12-26
71,NC,27985,103649.47,9,MORTGAGE,592,600,13,25,2,0,82.35,35.46,2021-07-18
72,WA,98389,162491.0,5,MORTGAGE,818,826,19,29,2,2,27.38,22.6,2022-07-23
