pull_id,borrower_id,loan_id,pull_date,bureau,fico_score,inquiries_6m,mths_since_last_delinq
1,9770,1,2022-12-22,TransUnion,701,5,62
2,540,2,2023-07-18,TransUnion,727,5,50
3,625,3,2022-12-07,TransUnion,757,1,14
4,7129,4,2023-02-23,Experian,654,5,
5,13026,5,2020-12-16,Equifax,849,3,
6,9417,6,2023-10-08,TransUnion,727,2,
7,4076,7,2023-04-21,Equifax,707,4,27
8,8069,8,2022-02-18,Experian,731,4,
9,12003,9,2023-06-01,Equifax,788,2,
10,3219,10,2020-07-01,TransUnion,719,0,
11,10035,11,2022-01-29,Experian,728,4,
12,4397,12,2023-08-07,Experian,732,3,
13,2470,13,2023-01-06,Experian,738,2,
14,5827,14,2020-02-02,Equifax,583,2,
15,9663,15,2022-09-10,Equifax,705,0,32
16,6470,16,2020-10-04,Equifax,582,5,
17,8446,17,2023-08-20,Experian,634,1,
18,10486,18,2022-03-03,Equifax,676,1,
19,13857,19,2021-09-02,TransUnion,731,3,
20,2822,20,2022-12-14,TransUnion,749,0,
21,9155,21,2024-03-06,TransUnion,650,2,
22,2281,22,2023-08-23,TransUnion,793,4,51
23,2908,23,2022-05-19,Experian,783,0,
24,4412,24,2022-09-13,Experian,690,1,28
25,2728,25,2021-01-02,Experian,781,1,
26,504,26,2023-11-07,TransUnion,597,1,
27,1435,27,2021-06-25,TransUnion,596,5,
28,4160,28,2020-03-03,TransUnion,784,0,
29,13094,29,2021-12-03,Experian,753,0,64
30,1445,30,2023-06-10,Experian,664,1,
31,1235,31,2023-11-10,TransUnion,784,2,10
32,12075,32,2021-07-10,Experian,613,1,23
33,3544,33,2020-11-12,Equifax,670,3,33
34,13209,34,2022-08-17,TransUnion,683,5,
35,7496,35,2020-10-17,Experian,681,0,
36,411,36,2022-12-20,Experian,636,0,14
37,14002,37,2023-05-15,Experian,620,5,
38,5878,38,2022-08-07,Experian,797,2,
39,13868,39,2021-03-30,Experian,702,2,
40,13792,40,2021-07-29,TransUnion,747,2,
41,14229,41,2022-06-17,Experian,580,3,8
42,7858,42,2022-08-31,Experian,768,1,
43,8845,43,2021-01-04,TransUnion,586,2,
44,3908,44,2020-05-21,Experian,832,4,
45,7441,45,2020-05-25,TransUnion,666,4,
46,8354,46,2024-04-03,Equifax,733,1,
47,5870,47,2024-04-13,Experian,760,2,
48,14861,48,2021-11-28,Equifax,724,5,
49,8778,49,2020-08-21,TransUnion,684,2,
50,2100,50,2020-11-19,TransUnion,793,4,58
51,4820,51,2023-09-28,Experian,739,2,
52,2586,52,2023-09-20,Equifax,782,2,
53,10237,53,2022-04-28,TransUnion,833,2,
54,8267,54,2023-11-14,Experian,839,0,52
55,1047,55,2021-11-04,Experian,743,4,
56,10155,56,2021-05-07,Experian,744,2,20
57,9643,57,2023-09-10,TransUnion,708,2,
58,6414,58,2023-02-10,Experian,740,5,
59,14883,59,2022-07-04,Experian,625,5,
60,7158,60,2021-10-13,Experian,619,2,21
61,7510,61,2020-07-18,Experian,601,2,47
62,10782,62,2022-11-30,Equifax,711,4,14
63,13537,63,2021-09-23,Experian,683,1,66
64,4599,64,2021-07-04,Equifax,704,3,
65,4350,65,2020-05-18,Experian,690,4,5
66,13681,66,2023-11-08,Experian,802,4,
67,9818,67,2021-04-25,Experian,705,3,
68,1954,68,2020-05-01,Experian,744,3,58
69,7837,69,2022-12-05,Equifax,769,3,12
70,6399,70,2021-01-07,TransUnion,674,5,
71,9897,71,2022-12-16,Experian,698,1,
72,13194,72,2020-12-11,Equifax,798,4,
