perf_id,loan_id,snapshot_date,loan_status,out_prncp,out_prncp_inv,total_pymnt,total_rec_prncp,total_rec_int,recoveries,collection_fees,last_payment_date,last_payment_amount
1,1,2024-12-31,Current,4911.84,4911.84,11241.84,6766.41,4475.43,0.0,0.0,2024-12-22,468.41
2,2,2024-12-31,Current,2917.22,2917.22,3048.27,1959.54,1088.73,0.0,0.0,2024-12-18,179.31
3,3,2024-12-31,Current,4266.07,4266.07,8874.72,7651.47,1223.25,0.0,0.0,2024-12-07,369.78
4,4,2024-12-31,Current,5129.12,5129.12,8663.16,6772.89,1890.27,0.0,0.0,2024-12-23,393.78
5,5,2024-12-31,Current,2603.86,2603.86,11304.48,7204.77,4099.71,0.0,0.0,2024-12-16,235.51
6,6,2024-12-31,Current,19728.04,19728.04,14501.48,9946.6,4554.88,0.0,0.0,2024-12-08,1035.82
7,7,2024-12-31,Charged Off,4754.49,4754.49,371.58,156.79,214.79,1208.94,96.72,2023-08-21,17.29
8,8,2024-12-31,Current,359.55,359.55,6271.98,4529.52,1742.46,0.0,0.0,2024-12-18,184.47
9,9,2024-12-31,Current,3571.42,3571.42,1719.18,1294.97,424.21,0.0,0.0,2024-12-01,95.51
10,10,2024-12-31,Fully Paid,0.13,0.13,36487.8,29722.87,6764.93,0.0,0.0,2023-07-01,1013.55
11,11,2024-12-31,Current,7261.56,7261.56,11683.35,7343.68,4339.67,0.0,0.0,2024-12-29,333.81
12,12,2024-12-31,Current,12175.56,12175.56,6286.72,2642.73,3643.99,0.0,0.0,2024-12-07,392.92
13,13,2024-12-31,Current,3047.66,3047.66,5903.64,4267.78,1635.86,0.0,0.0,2024-12-06,256.68
14,14,2024-12-31,Fully Paid,0.18,0.18,13437.0,11794.32,1642.68,0.0,0.0,2023-02-02,373.25
15,15,2024-12-31,Current,1403.8,1403.8,4432.05,3511.33,920.72,0.0,0.0,2024-12-10,164.15
16,16,2024-12-31,Current,1961.91,1961.91,10228.5,7844.67,2383.83,0.0,0.0,2024-12-04,204.57
17,17,2024-12-31,Current,19460.36,19460.36,19792.8,10117.07,9675.73,0.0,0.0,2024-12-20,1237.05
18,18,2024-12-31,Current,881.52,881.52,10151.46,6569.05,3582.41,0.0,0.0,2024-12-03,307.62
19,19,2024-12-31,Current,3975.99,3975.99,7957.95,6018.87,1939.08,0.0,0.0,2024-12-02,204.05
20,20,2024-12-31,Charged Off,4543.4,4543.4,527.85,311.97,215.88,1399.12,111.93,2023-04-14,20.08
21,21,2024-12-31,Current,12730.58,12730.58,2668.32,1822.55,845.77,0.0,0.0,2024-12-06,296.48
22,22,2024-12-31,Current,5995.47,5995.47,5549.76,3709.02,1840.74,0.0,0.0,2024-12-23,346.86
