loan_id,borrower_id,loan_amount,funded_amount,term_months,interest_rate,installment,grade,sub_grade,purpose,issue_date,initial_list_status,application_type
1,9770,12000.0,11678.25,36,25.66,468.41,F,F4,vacation,2022-12-22,f,Individual
2,540,5000.0,4876.76,36,19.22,179.31,D,D5,medical,2023-07-18,f,Individual
3,625,12000.0,11917.54,36,7.33,369.78,A,A1,major_purchase,2022-12-07,w,Joint App
4,7129,12000.0,11902.01,36,11.73,393.78,B,B5,small_business,2023-02-23,w,Joint App
5,13026,10000.0,9808.63,60,15.42,235.51,C,C5,major_purchase,2020-12-16,w,Joint App
6,9417,30000.0,29674.64,36,15.49,1035.82,C,C3,credit_card,2023-10-08,f,Joint App
7,4076,5000.0,4911.28,60,17.68,123.86,D,D5,educational,2023-04-21,w,Joint App
8,8069,5000.0,4889.07,36,21.11,184.47,E,E5,medical,2022-02-18,f,Individual
9,12003,5000.0,4866.39,60,6.63,95.51,A,A5,car,2023-06-01,f,Joint App
10,3219,30000.0,29723.0,36,13.84,1013.55,C,C1,moving,2020-07-01,w,Joint App
11,10035,15000.0,14605.24,60,13.2,333.81,C,C2,wedding,2022-01-29,f,Joint App
12,4397,15000.0,14818.29,60,20.04,392.92,E,E4,home_improvement,2023-08-07,w,Joint App
13,2470,7500.0,7315.44,36,15.86,256.68,C,C1,major_purchase,2023-01-06,w,Joint App
14,5827,12000.0,11794.5,36,8.67,373.25,B,B5,educational,2020-02-02,f,Joint App
15,9663,5000.0,4915.13,36,12.38,164.15,C,C1,small_business,2022-09-10,f,Individual
16,6470,10000.0,9806.58,60,9.21,204.57,B,B4,home_improvement,2020-10-04,w,Individual
17,8446,30000.0,29577.43,36,28.85,1237.05,G,G1,moving,2023-08-20,w,Individual
18,10486,7500.0,7450.57,36,27.86,307.62,F,F1,moving,2022-03-03,f,Individual
19,13857,10000.0,9994.86,60,8.29,204.05,B,B4,small_business,2021-09-02,w,Joint App
20,2822,5000.0,4855.37,36,18.17,175.95,D,D2,other,2022-12-14,f,Individual
21,9155,15000.0,14553.13,60,8.2,296.48,B,B1,other,2024-03-06,w,Joint App
22,2281,10000.0,9704.49,36,17.18,346.86,D,D1,vacation,2023-08-23,f,Joint App
23,2908,20000.0,19743.77,36,5.85,599.3,A,A3,small_business,2022-05-19,w,Individual
24,4412,20000.0,19865.55,36,29.13,833.89,G,G2,educational,2022-09-13,f,Joint App
25,2728,7500.0,7450.41,36,7.89,233.09,A,A4,medical,2021-01-02,w,Joint App
26,504,25000.0,24744.26,36,8.96,786.4,B,B1,moving,2023-11-07,f,Individual
27,1435,10000.0,9843.4,60,14.59,232.06,C,C2,small_business,2021-06-25,w,Joint App
28,4160,25000.0,24938.87,60,19.8,657.96,D,D1,small_business,2020-03-03,f,Joint App
29,13094,20000.0,19989.18,60,5.78,384.41,A,A4,major_purchase,2021-12-03,w,Joint App
30,1445,40000.0,39804.52,36,7.09,1230.69,A,A4,vacation,2023-06-10,w,Joint App
31,1235,7500.0,7338.83,36,16.45,259.64,D,D4,debt_consolidation,2023-11-10,f,Individual
32,12075,20000.0,19680.91,36,13.76,670.36,C,C2,educational,2021-07-10,f,Joint App
33,3544,18000.0,17638.02,60,15.02,419.79,C,C3,other,2020-11-12,f,Joint App
34,13209,25000.0,24615.17,36,18.59,897.2,D,D2,small_business,2022-08-17,w,Individual
35,7496,5000.0,4986.43,60,17.92,126.41,D,D4,small_business,2020-10-17,w,Individual
36,411,10000.0,9774.5,60,7.55,196.09,A,A2,medical,2022-12-20,f,Individual
37,14002,10000.0,9953.79,36,6.74,306.16,A,A4,major_purchase,2023-05-15,w,Joint App
38,5878,20000.0,19720.34,36,17.28,705.84,D,D2,major_purchase,2022-08-07,f,Individual
39,13868,18000.0,17679.42,36,13.75,602.1,C,C1,vacation,2021-03-30,w,Individual
40,13792,5000.0,4958.98,60,8.22,101.07,B,B3,educational,2021-07-29,w,Joint App
41,14229,5000.0,4985.39,36,10.1,161.1,B,B4,debt_consolidation,2022-06-17,f,Individual
42,7858,20000.0,19923.5,36,18.98,730.11,D,D2,debt_consolidation,2022-08-31,f,Individual
43,8845,10000.0,9859.83,36,22.32,378.19,E,E5,home_improvement,2021-01-04,w,Joint App
44,3908,7500.0,7341.01,36,14.97,254.37,C,C5,major_purchase,2020-05-21,f,Individual
45,7441,18000.0,17876.59,60,19.92,472.82,D,D2,wedding,2020-05-25,f,Individual
46,8354,7500.0,7438.48,36,5.47,224.51,A,A3,moving,2024-04-03,w,Joint App
47,5870,12000.0,11771.65,60,16.27,287.96,D,D1,other,2024-04-13,f,Individual
48,14861,15000.0,14683.91,36,13.81,500.51,C,C4,car,2021-11-28,f,Joint App
49,8778,35000.0,34557.1,60,15.19,825.56,C,C1,small_business,2020-08-21,f,Individual
50,2100,7500.0,7465.03,60,21.9,205.75,E,E4,small_business,2020-11-19,w,Joint App
51,4820,10000.0,9828.1,36,12.11,326.95,C,C3,vacation,2023-09-28,f,Joint App
52,2586,7500.0,7385.68,36,7.68,230.35,A,A3,small_business,2023-09-20,f,Joint App
53,10237,10000.0,9996.24,60,14.34,234.36,C,C2,moving,2022-04-28,f,Joint App
54,8267,12000.0,11813.76,36,7.4,366.94,A,A3,credit_card,2023-11-14,w,Individual
